Chapter Included,Number of topics,Ranked,Jaccard,Cosine
intro,8,0.3333333333333333,0.08247422680412371,0.23077989946532623
1,14,0.9999999999999992,0.12745098039215685,0.30228522353530585
2,27,0.9999999999999998,0.19642857142857142,0.5480179053602804
3,53,0.823529411764705,0.2777777777777778,0.5741217029402916
4,68,0.791666666666664,0.24475524475524477,0.5779785638554791
5,75,0.7857142857142817,0.23841059602649006,0.5683141672988914
6,83,0.7777777777777753,0.24203821656050956,0.6391958170973179
7,86,0.686274509803919,0.24050632911392406,0.6516309688436945
