Chapter Included,Number of topics,Ranked,Jaccard,Cosine
intro,8,1.0,0.08247422680412371,0.23077989946532623
1,9,0.9230769230769231,0.1,0.307706532620435
2,17,0.43396226415094336,0.14285714285714285,0.5260516587137166
3,36,0.32258064516129026,0.23893805309734514,0.40835122750293307
4,22,0.2388059701492537,0.11607142857142858,0.36619677044261184
5,11,0.38888888888888895,0.05714285714285714,0.15341556054046757
6,16,0.48648648648648635,0.10576923076923077,0.46429993932474084
7,18,0.4142857142857143,0.12380952380952381,0.41764524519439467
